p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.302103622201682	0.463	0.119	0	11	MT-LOC725496
0	0.301936451350623	0.674	0.249	0	11	LOC100576896
0	0.301796401310689	0.432	0.105	0	11	MT-LOC724162
0	0.301606260651043	0.446	0.116	0	11	LOC102654127
0	0.30151068397828	0.414	0.114	0	11	LOC725557
0	0.301337455746124	0.436	0.106	0	11	LOC726088
0	0.301316175288719	0.337	0.056	0	11	MT-LOC726569
0	0.301223856875622	0.636	0.22	0	11	LOC726609
0	0.301153318628258	0.726	0.297	0	11	LOC552505
0	0.301144638961186	0.559	0.23	0	11	LOC408547
0	0.301143390626325	0.625	0.21	0	11	LOC552736
0	0.300980314270834	0.451	0.113	0	11	LOC551718
0	0.300934647453049	0.382	0.08	0	11	LOC408336
0	0.300844631405974	0.612	0.205	0	11	RB-LOC724186
0	0.300714224046222	0.391	0.085	0	11	LOC409113
0	0.300679345961247	0.41	0.096	0	11	LOC550798
0	0.30062795434351	0.606	0.212	0	11	LOC408953
0	0.300619206032031	0.392	0.087	0	11	MT-LOC409793
0	0.300295295269119	0.41	0.095	0	11	LOC408669
0	0.300089125766091	0.404	0.09	0	11	LOC413486
0	0.299969337280523	0.416	0.097	0	11	LOC552114
0	0.299698841263993	0.496	0.149	0	11	LOC724747
0	0.29964740034915	0.35	0.063	0	11	LOC408982
0	0.29943594004735	0.458	0.129	0	11	LOC408427
0	0.299180922825042	0.44	0.108	0	11	LOC727432
0	0.299142863150195	0.359	0.078	0	11	LOC726671
0	0.299070571783849	0.541	0.168	0	11	LOC725298
0	0.298947653889813	0.47	0.129	0	11	LOC411177
0	0.298942923680719	0.602	0.2	0	11	LOC552675
0	0.298869428763145	0.361	0.071	0	11	LOC552764
0	0.29873666551596	0.514	0.145	0	11	LOC552417
0	0.298448649788846	0.547	0.164	0	11	Tpi
0	0.298292658977025	0.443	0.115	0	11	LOC410796
0	0.298257689477574	0.479	0.136	0	11	LOC411879
0	0.298209323590724	0.385	0.081	0	11	LOC100578513
0	0.297966002064463	0.431	0.107	0	11	LOC408507
0	0.297636427554975	0.705	0.274	0	11	LOC410874
0	0.297593173703874	0.337	0.057	0	11	LOC725452
0	0.297518563107295	0.419	0.103	0	11	LOC113218965
0	0.297373261310956	0.376	0.079	0	11	MT-LOC726867
0	0.297259755140314	0.519	0.159	0	11	LOC409286
0	0.297201909343147	0.359	0.067	0	11	LOC726679
0	0.297117300110778	0.635	0.227	0	11	LOC100577004
0	0.297079046448294	0.785	0.338	0	11	LOC724221
0	0.297055538036125	0.393	0.09	0	11	LOC726021
0	0.296881701618462	0.297	0.059	0	11	LOC107964958
0	0.296881264567271	0.414	0.1	0	11	LOC409543
0	0.296840339655541	0.417	0.095	0	11	LOC102653862
0	0.296788449912151	0.753	0.314	0	11	LOC408680
0	0.296651809497142	0.358	0.069	0	11	arm
0	0.296593658832424	0.602	0.209	0	11	LOC411617
0	0.296517228895527	0.46	0.132	0	11	LOC413503
0	0.296450893861666	0.52	0.158	0	11	LOC413873
0	0.296417979869564	0.403	0.109	0	11	LOC102656010
0	0.296162773408736	0.515	0.152	0	11	LOC410286
0	0.296053881476527	0.665	0.247	0	11	LOC100578450
0	0.296001414072304	0.414	0.103	0	11	LOC551792
0	0.295950166827138	0.389	0.087	0	11	MT-LOC102654465
0	0.295888682724056	0.507	0.152	0	11	LOC727249
0	0.295824059701914	0.654	0.239	0	11	LOC409456
0	0.295791529927834	0.284	0.049	0	11	LOC100577522
0	0.295710770111243	0.325	0.055	0	11	LOC727460
0	0.295633598162512	0.385	0.083	0	11	LOC410816
0	0.294880829923136	0.499	0.147	0	11	LOC413361
0	0.294796279701089	0.777	0.332	0	11	PHRF1
0	0.294785175980704	0.975	0.566	0	11	LOC410498
0	0.294670441837856	0.427	0.107	0	11	LOC102654791
0	0.294494253261768	0.425	0.103	0	11	LOC409134
0	0.29436951987363	0.411	0.1	0	11	LOC409558
0	0.294351459595463	0.441	0.116	0	11	LOC727278
0	0.294345049837478	0.342	0.061	0	11	LOC411833
0	0.294228921941322	0.368	0.076	0	11	LOC725826
0	0.29421809504818	0.458	0.117	0	11	LOC724264
0	0.294211489100346	0.401	0.09	0	11	LOC100577209
0	0.294200670508193	0.339	0.059	0	11	LOC412972
0	0.294132521281157	0.407	0.095	0	11	LOC408523
0	0.294132159294258	0.269	0.037	0	11	LOC726130
0	0.294055092940498	0.349	0.072	0	11	LOC726655
0	0.293814824060799	0.445	0.114	0	11	LOC551982
0	0.293789982963289	0.337	0.06	0	11	LOC552386
0	0.293576770634923	0.387	0.082	0	11	LOC551974
0	0.29357062996711	0.43	0.111	0	11	LOC413812
0	0.293406577551605	0.331	0.057	0	11	LOC100576226
0	0.29338345418788	0.491	0.142	0	11	LOC409704
0	0.293329073682921	0.398	0.091	0	11	LOC724965
0	0.29325847509464	0.386	0.086	0	11	rtGEF
0	0.293230876201721	0.521	0.167	0	11	LOC409337
0	0.293113904653204	0.533	0.164	0	11	LOC724294
0	0.293106261483805	0.363	0.074	0	11	LOC411121
0	0.293016413844558	0.321	0.055	0	11	LOC726683
0	0.292977311030843	0.453	0.122	0	11	LOC412288
0	0.292791171548509	0.548	0.142	0	11	LOC551824
0	0.292761642497742	0.363	0.075	0	11	LOC100576438
0	0.292706009437794	0.432	0.111	0	11	LOC552550
0	0.2926995894802	0.547	0.172	0	11	LOC725679
0	0.29260439222425	0.563	0.187	0	11	LOC552062
0	0.292487694132805	0.355	0.069	0	11	LOC724630
0	0.292467044095099	0.439	0.112	0	11	LOC100577454
0	0.292450284572386	0.508	0.153	0	11	LOC413680
